31.7, 26.8, 69.3, 63.8, -131.4
26.8, 20.4, 63.8, 61.0, -156.6
20.4, 13.2, 61.0, 60.0, -172.8
13.2, 7.1, 60.0, 56.5, -149.4
7.1, 3.7, 56.5, 50.3, -118.8
3.7, 4.7, 50.3, 43.2, -82.8
4.7, 9.5, 43.2, 37.8, -48.6
9.5, 16.2, 37.8, 35.7, -18.0
16.2, 23.2, 35.7, 37.0, 10.8
23.2, 28.7, 37.0, 41.6, 39.6
28.7, 32.0, 41.6, 47.8, 61.2
32.0, 33.7, 47.8, 54.7, 75.60000000000001
33.7, 33.3, 54.7, 62.1, 91.8
33.3, 31.7, 62.1, 69.0, 104.4
